Micros,Voltage,Pack SoC,DCL,Failsafe,DTC1,DTC2,Temperature High,PC,Torque,RPM,Motor_temp,Controller_temp,time_interval,input_power,output_power,speed,motor_efficiency,E_remaining,E_per_km
103008077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
103527076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
104046077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
104565076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
105086075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.520999,0.00573,0.0,0.0,0.0,8.459999999999999,
105605078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
106124077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
106643078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
107162075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
107681078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
108200075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
108719078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
109238075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
109759076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.521001,0.00573,0.0,0.0,0.0,8.459999999999999,
110278077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
110797076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
111316077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
111835078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
112354075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
112873076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
113392077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
113911076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
114432077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.521001,0.00573,0.0,0.0,0.0,8.459999999999999,
